"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SPKEP","Spark Energy, Inc.","24.57","$91.09M","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/spkep",
"SPAR","Spartan Motors, Inc.","12.56","$436.19M","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/spar",
"SPTN","SpartanNash Company","11.23","$408.2M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/sptn",
"DWFI","SPDR Dorsey Wright Fixed Income Allocation ETF","23.8739","$123.55M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwfi",
"SPPI","Spectrum Pharmaceuticals, Inc.","2.525","$287.07M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sppi",
"SPRO","Spero Therapeutics, Inc.","8.5","$163.9M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/spro",
"ANY","Sphere 3D Corp.","0.5989","$2.25M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/any",
"SPEX","Spherix Incorporated","3.22","$15.54M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/spex",
"SPI","SPI Energy Co., Ltd.","1.0523","$15.37M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/spi",
"SAVE","Spirit Airlines, Inc.","21.41","$1.47B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/save",
"STXB","Spirit of Texas Bancshares, Inc.","15.35","$280.26M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/stxb",
"SPLK","Splunk Inc.","128.24","$20B","2012","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/splk",
"SPOK","Spok Holdings, Inc.","9.92","$187.93M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/spok",
"SPWH","Sportsman&#39;s Warehouse Holdings, Inc.","5.04","$217.88M","2014","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/spwh",
"SBPH","Spring Bank Pharmaceuticals, Inc.","1.215","$20.06M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sbph",
"SWTX","SpringWorks Therapeutics, Inc.","32.97","$1.42B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/swtx",
"FUND","Sprott Focus Trust, Inc.","5.89","$166.95M","n/a","Consumer Services","Miscellaneous","https://old.nasdaq.com/symbol/fund",
"SPT","Sprout Social, Inc","15.29","$765.84M","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/spt",
"SFM","Sprouts Farmers Market, Inc.","16.47","$1.94B","2013","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/sfm",
"SPSC","SPS Commerce, Inc.","47.64","$1.66B","2010","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/spsc",
"SRAX","SRAX, Inc.","2.14","$29.95M","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/srax",
"SSNC","SS&C Technologies Holdings, Inc.","47.76","$12.21B","2010","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ssnc",
"SSRM","SSR Mining Inc.","15.48","$1.91B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ssrm",
"STAA","STAAR Surgical Company","27.63","$1.24B","n/a","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/staa",
"SRAC","Stable Road Acquisition Corp.","9.85","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/srac",
